k,cv_rmse_mean,cv_rmse_std,gradient_1st,gradient_2nd
1,583.5452586475446,235.4810851917649,,
2,460.4222540750362,181.29994208370442,-123.12300457250842,
3,480.688390510697,207.26506126664734,20.26613643566077,143.3891410081692
4,485.8399804443037,187.46491495932773,5.151589933606715,-15.114546502054054
5,504.0690994398525,189.83869410078768,18.229118995548788,13.077529061942073
6,540.9696055187729,192.95468859559458,36.90050607892044,18.671387083371656
7,569.980629709923,192.68213509081355,29.011024191150113,-7.88948188777033
8,601.5381189798311,189.4818466721623,31.557489269908046,2.546465078757933
9,636.8449633857023,195.82603593630023,35.306844405871175,3.7493551359631283
10,674.6084412897428,207.85100666711946,37.76347790404054,2.456633498169367
11,713.1516328151315,227.98355713298102,38.54319152538869,0.7797136213481508
12,736.1547867915663,235.49978985962892,23.00315397643476,-15.540037548953933
13,754.8433697151097,251.63673730833506,18.688582923543436,-4.314571052891324
14,764.1876908023308,262.6846766040179,9.344321087221147,-9.34426183632229
15,768.5804221417815,264.5168531554188,4.39273133945062,-4.951589747770527
16,776.1697003363479,275.940790546824,7.589278194566418,3.1965468551157983
17,777.2913609204895,272.5362971200248,1.1216605841416367,-6.467617610424782
18,775.192268298015,273.5200335066704,-2.0990926224744726,-3.2207532066161093
19,785.0938536035227,291.02574841845296,9.901585305507638,12.00067792798211
20,793.2274235935074,312.9981180534016,8.133569989984721,-1.7680153155229164
