model,accuracy,precision,recall,f1,roc_auc,accuracy_norm,precision_norm,recall_norm,f1_norm,roc_auc_norm,composite_score,rank
KNN,0.8212290502793296,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.8595520421607379,0.8749999999999991,0.41776937618147414,1.0,0.9756025519848768,1.0,0.85367438563327,1
SVM,0.8268156424581006,0.7878787878787878,0.7536231884057971,0.7703703703703704,0.8428194993412385,1.0,0.5711462450592882,0.9230769230769234,1.0,0.7574021012416413,0.8503250538755707,2
Logistic Regression,0.8100558659217877,0.8431372549019608,0.6231884057971014,0.7166666666666667,0.8353096179183136,0.6249999999999997,1.0,0.23076923076923067,0.418817934782609,0.6485195797516704,0.584621349060702,3
Random Forest,0.7932960893854749,0.7285714285714285,0.7391304347826086,0.7338129496402878,0.8420289855072464,0.2500000000000019,0.11086956521739093,0.846153846153846,0.6043751954957773,0.7459407831900654,0.5114678780114164,4
GaussianNB,0.7821229050279329,0.7142857142857143,0.7246376811594203,0.7194244604316546,0.8193675889328063,0.0,0.0,0.7692307692307693,0.44866280888332793,0.4173829990448876,0.32705531543179694,5
Decision Tree,0.7877094972067039,0.8163265306122449,0.5797101449275363,0.6779661016949152,0.7905797101449277,0.12500000000000094,0.7919254658385094,0.0,0.0,0.0,0.18338509316770207,6
