trial,n_estimators,max_depth,max_depth_order,min_samples_split,min_samples_leaf,max_features,class_weight,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
57,500,8,8,2,5,sqrt,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.8146163695459471,0.02364008989173885,0.7348544574615634,0.8808777693338822,0.8216389244558258,0.7450375774419548,0.8808777693338822,111
60,500,8,8,10,5,sqrt,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.8146163695459471,0.02364008989173885,0.7348544574615634,0.8808777693338822,0.8216389244558258,0.7450375774419548,0.8808777693338822,112
69,500,8,8,2,5,log2,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.8146163695459471,0.02364008989173885,0.7348544574615634,0.8808777693338822,0.8216389244558258,0.7450375774419548,0.8808777693338822,113
72,500,8,8,10,5,log2,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.8146163695459471,0.02364008989173885,0.7348544574615634,0.8808777693338822,0.8216389244558258,0.7450375774419548,0.8808777693338822,114
153,500,8,8,2,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.8132276174529697,0.029897933465478258,0.7589074285657362,0.8815213788881501,0.8287107258938246,0.7730770342535049,0.8833895380133624,115
156,500,8,8,10,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.8132276174529697,0.029897933465478258,0.7589074285657362,0.8815213788881501,0.8287107258938246,0.7730770342535049,0.8833895380133624,116
165,500,8,8,2,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.8132276174529697,0.029897933465478258,0.7589074285657362,0.8815213788881501,0.8287107258938246,0.7730770342535049,0.8833895380133624,117
168,500,8,8,10,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.8132276174529697,0.029897933465478258,0.7589074285657362,0.8815213788881501,0.8287107258938246,0.7730770342535049,0.8833895380133624,118
177,500,None,999,2,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.8132276174529697,0.029568996715892595,0.7580224728135239,0.8830684061091585,0.8287107258938246,0.7730770342535049,0.8833922295050822,119
180,500,None,999,10,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.8132276174529697,0.029568996715892595,0.7580224728135239,0.8830684061091585,0.8287107258938246,0.7730770342535049,0.8833922295050822,120
189,500,None,999,2,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.8132276174529697,0.029568996715892595,0.7580224728135239,0.8830684061091585,0.8287107258938246,0.7730770342535049,0.8833922295050822,121
192,500,None,999,10,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.8132276174529697,0.029568996715892595,0.7580224728135239,0.8830684061091585,0.8287107258938246,0.7730770342535049,0.8833922295050822,122
103,100,4,4,2,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8132177681473456,0.03836287977476977,0.7623392866995574,0.8770830034936618,0.8216487737614498,0.7690274458407216,0.8833895380133624,123
106,100,4,4,10,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8132177681473456,0.03836287977476977,0.7623392866995574,0.8770830034936618,0.8216487737614498,0.7690274458407216,0.8833895380133624,124
115,100,4,4,2,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8132177681473456,0.03836287977476977,0.7623392866995574,0.8770830034936618,0.8216487737614498,0.7690274458407216,0.8833895380133624,125
118,100,4,4,10,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8132177681473456,0.03836287977476977,0.7623392866995574,0.8770830034936618,0.8216487737614498,0.7690274458407216,0.8833895380133624,126
100,100,4,4,10,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8132177681473456,0.03836287977476977,0.7622698562531868,0.8793763655362401,0.8216487737614498,0.7690274458407216,0.8833895380133624,127
112,100,4,4,10,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8132177681473456,0.03836287977476977,0.7622698562531868,0.8793763655362401,0.8216487737614498,0.7690274458407216,0.8833895380133624,128
2,300,4,4,2,1,sqrt,None,"{'class_weight': None, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8132079188417215,0.02242265324895074,0.7365611047204018,0.8762579425392903,0.8160248202501725,0.7416949676159368,0.8778702252409151,129
14,300,4,4,2,1,log2,None,"{'class_weight': None, 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8132079188417215,0.02242265324895074,0.7365611047204018,0.8762579425392903,0.8216389244558258,0.7450375774419548,0.8787972858153109,130
4,100,4,4,10,1,sqrt,None,"{'class_weight': None, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8131980695360979,0.01813051982185259,0.7370965667995371,0.8778029775286829,0.8174135723431497,0.7419861097739695,0.8778702252409151,131
16,100,4,4,10,1,log2,None,"{'class_weight': None, 'max_depth': 4, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8131980695360979,0.01813051982185259,0.7370965667995371,0.8778029775286829,0.8216389244558258,0.7450375774419548,0.8787972858153109,132
79,100,None,999,2,5,sqrt,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8131980695360976,0.02686246031711043,0.7343329811581506,0.8830085336119818,0.8216487737614498,0.7531526405271215,0.8830085336119818,133
82,100,None,999,10,5,sqrt,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8131980695360976,0.02686246031711043,0.7343329811581506,0.8830085336119818,0.8216487737614498,0.7531526405271215,0.8833895380133624,134
91,100,None,999,2,5,log2,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8131980695360976,0.02686246031711043,0.7343329811581506,0.8830085336119818,0.8216487737614498,0.7531526405271215,0.8833895380133624,135
94,100,None,999,10,5,log2,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8131980695360976,0.02686246031711043,0.7343329811581506,0.8830085336119818,0.8216487737614498,0.7531526405271215,0.8833895380133624,136
31,100,6,6,2,5,sqrt,None,"{'class_weight': None, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8131882202304738,0.02658020121439758,0.7321388577827548,0.8778029511415092,0.8216389244558258,0.7450375774419548,0.8790777946655689,137
