trial,n_estimators,max_depth,max_depth_order,min_samples_split,min_samples_leaf,max_features,class_weight,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
131,300,6,6,10,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.8061952132374668,0.024891644850306906,0.7470717469921048,0.8784874344278734,0.8216487737614498,0.7690274458407216,0.8833895380133624,176
140,300,6,6,2,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.8061952132374668,0.024891644850306906,0.7470717469921048,0.8784874344278734,0.8216487737614498,0.7690274458407216,0.8833895380133624,177
143,300,6,6,10,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.8061952132374668,0.024891644850306906,0.7470717469921048,0.8784874344278734,0.8216487737614498,0.7690274458407216,0.8833895380133624,178
74,300,None,999,2,1,sqrt,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8047966118388654,0.024767927258551186,0.7437979265688895,0.8694549201524122,0.8216389244558258,0.7450375774419548,0.8808777693338822,179
86,300,None,999,2,1,log2,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8047966118388654,0.024767927258551186,0.7437979265688895,0.8694549201524122,0.8216487737614498,0.7531526405271215,0.8833895380133624,180
73,100,None,999,2,1,sqrt,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8047867625332413,0.018440125557989344,0.7444828837356978,0.8689787372154143,0.8216389244558258,0.7450375774419548,0.8808777693338822,181
85,100,None,999,2,1,log2,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8047867625332413,0.018440125557989344,0.7444828837356978,0.8689787372154143,0.8216487737614498,0.7531526405271215,0.8833895380133624,182
75,500,None,999,2,1,sqrt,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.8019994090416626,0.025452549599960933,0.7393133856405566,0.8697468282617186,0.8216389244558258,0.7450375774419548,0.8808777693338822,183
87,500,None,999,2,1,log2,None,"{'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.8019994090416626,0.025452549599960933,0.7393133856405566,0.8697468282617186,0.8216487737614498,0.7531526405271215,0.8833895380133624,184
170,300,None,999,2,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8005909583374372,0.019896119074190206,0.7375323113085674,0.8694452360596563,0.8287107258938246,0.7730770342535049,0.8833895380133624,185
182,300,None,999,2,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8005909583374372,0.019896119074190206,0.7375323113085674,0.8694452360596563,0.8287107258938246,0.7730770342535049,0.8833922295050822,186
129,500,6,6,2,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.8005811090318133,0.03214372762163496,0.7398359858276568,0.8786544388503635,0.8216487737614498,0.7690274458407216,0.8833895380133624,187
132,500,6,6,10,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.8005811090318133,0.03214372762163496,0.7398359858276568,0.8786544388503635,0.8216487737614498,0.7690274458407216,0.8833895380133624,188
141,500,6,6,2,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.8005811090318133,0.03214372762163496,0.7398359858276568,0.8786544388503635,0.8216487737614498,0.7690274458407216,0.8833895380133624,189
144,500,6,6,10,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.8005811090318133,0.03214372762163496,0.7398359858276568,0.8786544388503635,0.8216487737614498,0.7690274458407216,0.8833895380133624,190
171,500,None,999,2,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.7991923569388357,0.020801878045693882,0.737195935972192,0.8697606287535755,0.8287107258938246,0.7730770342535049,0.8833895380133624,191
183,500,None,999,2,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.7991923569388357,0.020801878045693882,0.737195935972192,0.8697606287535755,0.8287107258938246,0.7730770342535049,0.8833922295050822,192
