trial,kernel,C,gamma,degree,coef0,class_weight,params,valid_accuracy,valid_f1,valid_roc_auc,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
2,linear,0.1,None,None,None,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__kernel': 'linear'}",0.776536312849162,0.6923076923076923,0.8417654808959157,0.7877094972067039,0.703125,0.8417654808959157,24
4,linear,1.0,None,None,None,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__kernel': 'linear'}",0.776536312849162,0.6923076923076923,0.8379446640316205,0.7932960893854749,0.7131782945736435,0.8417654808959157,25
34,sigmoid,0.1,0.1,None,0.0,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",0.770949720670391,0.6917293233082706,0.7631093544137022,0.8268156424581006,0.7703703703703704,0.8488801054018446,26
30,poly,10.0,scale,3,0.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'poly'}",0.770949720670391,0.6870229007633588,0.8230566534914361,0.8268156424581006,0.7703703703703704,0.8488801054018446,27
33,sigmoid,0.1,scale,None,0.0,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__gamma': 'scale', 'model__kernel': 'sigmoid'}",0.7597765363128491,0.6814814814814815,0.7584980237154149,0.8268156424581006,0.7703703703703704,0.8488801054018446,28
32,sigmoid,0.1,0.1,None,0.0,None,"{'model__C': 0.1, 'model__class_weight': None, 'model__coef0': 0.0, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",0.7597765363128491,0.6717557251908397,0.7599472990777338,0.8268156424581006,0.7703703703703704,0.8488801054018446,29
31,sigmoid,0.1,scale,None,0.0,None,"{'model__C': 0.1, 'model__class_weight': None, 'model__coef0': 0.0, 'model__gamma': 'scale', 'model__kernel': 'sigmoid'}",0.7597765363128491,0.6717557251908397,0.7555994729907773,0.8268156424581006,0.7703703703703704,0.8488801054018446,30
22,poly,0.1,scale,3,0.0,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'poly'}",0.7486033519553073,0.5871559633027523,0.8321475625823452,0.8268156424581006,0.7703703703703704,0.8476943346508564,31
38,sigmoid,1.0,0.1,None,0.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",0.7318435754189944,0.6417910447761194,0.6902503293807641,0.8268156424581006,0.7703703703703704,0.8488801054018446,32
36,sigmoid,1.0,0.1,None,0.0,None,"{'model__C': 1.0, 'model__class_weight': None, 'model__coef0': 0.0, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",0.7318435754189944,0.6065573770491803,0.6573122529644269,0.8268156424581006,0.7703703703703704,0.8488801054018446,33
20,poly,0.1,scale,3,0.0,None,"{'model__C': 0.1, 'model__class_weight': None, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'poly'}",0.7206703910614525,0.4897959183673469,0.8476943346508564,0.8268156424581006,0.7703703703703704,0.8476943346508564,34
35,sigmoid,1.0,scale,None,0.0,None,"{'model__C': 1.0, 'model__class_weight': None, 'model__coef0': 0.0, 'model__gamma': 'scale', 'model__kernel': 'sigmoid'}",0.7150837988826816,0.5641025641025641,0.6429512516469038,0.8268156424581006,0.7703703703703704,0.8488801054018446,35
37,sigmoid,1.0,scale,None,0.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__gamma': 'scale', 'model__kernel': 'sigmoid'}",0.7039106145251397,0.6074074074074074,0.6712779973649539,0.8268156424581006,0.7703703703703704,0.8488801054018446,36
40,sigmoid,10.0,0.1,None,0.0,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__coef0': 0.0, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",0.6927374301675978,0.5669291338582677,0.5985507246376811,0.8268156424581006,0.7703703703703704,0.8488801054018446,37
39,sigmoid,10.0,scale,None,0.0,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__coef0': 0.0, 'model__gamma': 'scale', 'model__kernel': 'sigmoid'}",0.6871508379888268,0.5625,0.5861660079051384,0.8268156424581006,0.7703703703703704,0.8488801054018446,38
19,poly,0.1,scale,2,0.0,None,"{'model__C': 0.1, 'model__class_weight': None, 'model__coef0': 0.0, 'model__degree': 2, 'model__gamma': 'scale', 'model__kernel': 'poly'}",0.6815642458100558,0.3132530120481928,0.7391304347826086,0.8268156424581006,0.7703703703703704,0.8428194993412385,39
41,sigmoid,10.0,scale,None,0.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__gamma': 'scale', 'model__kernel': 'sigmoid'}",0.6759776536312849,0.5857142857142857,0.624110671936759,0.8268156424581006,0.7703703703703704,0.8488801054018446,40
21,poly,0.1,scale,2,0.0,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__degree': 2, 'model__gamma': 'scale', 'model__kernel': 'poly'}",0.6703910614525139,0.4778761061946903,0.6923583662714098,0.8268156424581006,0.7703703703703704,0.8476943346508564,41
42,sigmoid,10.0,0.1,None,0.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__coef0': 0.0, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",0.6424581005586593,0.5492957746478874,0.6200263504611332,0.8268156424581006,0.7703703703703704,0.8488801054018446,42
