n_neighbors,weights,p,accuracy,precision,recall,f1,roc_auc
5,distance,1,0.8212290502793296,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.8595520421607379
7,distance,2,0.8212290502793296,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.8594202898550725
7,uniform,2,0.8212290502793296,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.858498023715415
21,distance,1,0.8212290502793296,0.7761194029850746,0.7536231884057971,0.7647058823529411,0.8523056653491436
15,distance,1,0.8268156424581006,0.8064516129032258,0.7246376811594203,0.7633587786259542,0.8594202898550726
13,distance,2,0.8268156424581006,0.8064516129032258,0.7246376811594203,0.7633587786259542,0.8557971014492755
3,distance,1,0.8156424581005587,0.7571428571428571,0.7681159420289855,0.762589928057554,0.8498023715415021
11,distance,2,0.8212290502793296,0.7846153846153846,0.7391304347826086,0.7611940298507462,0.8569169960474308
19,uniform,2,0.8268156424581006,0.8166666666666667,0.7101449275362319,0.7596899224806202,0.8527009222661397
9,distance,1,0.8156424581005587,0.7647058823529411,0.7536231884057971,0.7591240875912408,0.8544137022397893
13,distance,1,0.8212290502793296,0.7936507936507936,0.7246376811594203,0.7575757575757576,0.8602108036890644
19,distance,2,0.8212290502793296,0.7936507936507936,0.7246376811594203,0.7575757575757576,0.8512516469038208
5,uniform,1,0.8212290502793296,0.7936507936507936,0.7246376811594203,0.7575757575757576,0.8506587615283268
15,distance,2,0.8212290502793296,0.8032786885245902,0.7101449275362319,0.7538461538461538,0.8538866930171278
17,distance,2,0.8212290502793296,0.8032786885245902,0.7101449275362319,0.7538461538461538,0.8521739130434782
11,distance,1,0.8100558659217877,0.7536231884057971,0.7536231884057971,0.7536231884057971,0.8567852437417655
17,distance,1,0.8156424581005587,0.78125,0.7246376811594203,0.7518796992481203,0.8565217391304347
19,distance,1,0.8156424581005587,0.78125,0.7246376811594203,0.7518796992481203,0.8536231884057972
7,distance,1,0.8044692737430168,0.7361111111111112,0.7681159420289855,0.75177304964539,0.8602766798418973
11,uniform,2,0.8212290502793296,0.8135593220338984,0.6956521739130435,0.75,0.8497364953886692
21,uniform,2,0.8212290502793296,0.8135593220338984,0.6956521739130435,0.75,0.8492753623188406
5,uniform,2,0.8156424581005587,0.7903225806451613,0.7101449275362319,0.7480916030534351,0.849802371541502
9,distance,2,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418,0.8568511198945981
5,distance,2,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418,0.8561264822134389
3,uniform,2,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418,0.843741765480896
3,uniform,1,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418,0.8415019762845849
3,distance,2,0.8044692737430168,0.75,0.7391304347826086,0.7445255474452555,0.8519762845849802
21,distance,2,0.8100558659217877,0.7777777777777778,0.7101449275362319,0.7424242424242424,0.8539525691699604
15,uniform,1,0.8212290502793296,0.8490566037735849,0.6521739130434783,0.7377049180327869,0.8508563899868247
13,uniform,2,0.8156424581005587,0.8214285714285714,0.6666666666666666,0.736,0.8552042160737812
17,uniform,2,0.8156424581005587,0.8333333333333334,0.6521739130434783,0.7317073170731707,0.8538208168642951
7,uniform,1,0.7932960893854749,0.7352941176470589,0.7246376811594203,0.7299270072992701,0.8423583662714098
15,uniform,2,0.8100558659217877,0.8301886792452831,0.6376811594202898,0.7213114754098361,0.8547430830039525
13,uniform,1,0.8044692737430168,0.8035714285714286,0.6521739130434783,0.72,0.8518445322793149
9,uniform,2,0.7988826815642458,0.7796610169491526,0.6666666666666666,0.71875,0.8571146245059288
17,uniform,1,0.7988826815642458,0.8,0.6376811594202898,0.7096774193548387,0.8442028985507245
19,uniform,1,0.7988826815642458,0.8,0.6376811594202898,0.7096774193548387,0.8428194993412385
9,uniform,1,0.7821229050279329,0.75,0.6521739130434783,0.6976744186046512,0.8428194993412385
11,uniform,1,0.7821229050279329,0.75,0.6521739130434783,0.6976744186046512,0.8426877470355731
21,uniform,1,0.7821229050279329,0.7586206896551724,0.6376811594202898,0.6929133858267716,0.8374835309617918
