trial,C,penalty,solver,max_iter,class_weight,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
492,1.0,l2,liblinear,91,None,"{'model__C': 1.0, 'model__class_weight': None, 'model__max_iter': 91, 'model__solver': 'liblinear', 'model__penalty': 'l2'}",0.799162809021964,0.01215559147350018,0.7294347376648261,0.8564545137899369,0.8019501625135428,0.7294347376648261,0.8584704938623433,19
497,1.0,l2,liblinear,96,None,"{'model__C': 1.0, 'model__class_weight': None, 'model__max_iter': 96, 'model__solver': 'liblinear', 'model__penalty': 'l2'}",0.799162809021964,0.01215559147350018,0.7294347376648261,0.8564545137899369,0.8019501625135428,0.7294347376648261,0.8584704938623433,20
10,0.01,l2,saga,6,None,"{'model__C': 0.01, 'model__class_weight': None, 'model__max_iter': 6, 'model__solver': 'saga', 'model__penalty': 'l2'}",0.7991628090219639,0.019108627662246053,0.706697772409852,0.8521068838858806,0.8019501625135428,0.7258116259187966,0.8521068838858806,21
613,10.0,l2,lbfgs,11,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 11, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,22
618,10.0,l2,lbfgs,16,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 16, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,23
623,10.0,l2,lbfgs,21,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 21, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,24
628,10.0,l2,lbfgs,26,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 26, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,25
633,10.0,l2,lbfgs,31,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 31, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,26
638,10.0,l2,lbfgs,36,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 36, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,27
643,10.0,l2,lbfgs,41,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 41, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,28
648,10.0,l2,lbfgs,46,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 46, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,29
653,10.0,l2,lbfgs,51,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 51, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,30
658,10.0,l2,lbfgs,56,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 56, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,31
663,10.0,l2,lbfgs,61,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 61, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,32
668,10.0,l2,lbfgs,66,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 66, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,33
673,10.0,l2,lbfgs,71,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 71, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,34
678,10.0,l2,lbfgs,76,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 76, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,35
683,10.0,l2,lbfgs,81,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 81, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,36
688,10.0,l2,lbfgs,86,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 86, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,37
693,10.0,l2,lbfgs,91,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 91, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,38
698,10.0,l2,lbfgs,96,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 96, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568922242276473,0.8019501625135428,0.7357042744602553,0.8587839470989941,39
813,30.0,l2,lbfgs,11,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 11, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,40
818,30.0,l2,lbfgs,16,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 16, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,41
823,30.0,l2,lbfgs,21,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 21, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,42
828,30.0,l2,lbfgs,26,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 26, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,43
833,30.0,l2,lbfgs,31,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 31, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,44
838,30.0,l2,lbfgs,36,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 36, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,45
843,30.0,l2,lbfgs,41,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 41, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,46
848,30.0,l2,lbfgs,46,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 46, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,47
853,30.0,l2,lbfgs,51,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 51, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,48
858,30.0,l2,lbfgs,56,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 56, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,49
863,30.0,l2,lbfgs,61,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 61, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,50
868,30.0,l2,lbfgs,66,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 66, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,51
873,30.0,l2,lbfgs,71,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 71, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,52
878,30.0,l2,lbfgs,76,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 76, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,53
883,30.0,l2,lbfgs,81,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 81, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,54
888,30.0,l2,lbfgs,86,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 86, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,55
893,30.0,l2,lbfgs,91,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 91, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,56
898,30.0,l2,lbfgs,96,None,"{'model__C': 30.0, 'model__class_weight': None, 'model__max_iter': 96, 'model__solver': 'lbfgs', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.8568910763855904,0.8019501625135428,0.7366068772542739,0.8588253617681516,57
625,10.0,l2,saga,21,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 21, 'model__solver': 'saga', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.856829092914516,0.8019501625135428,0.7357042744602553,0.8587839470989941,58
630,10.0,l2,saga,26,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 26, 'model__solver': 'saga', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.856829092914516,0.8019501625135428,0.7357042744602553,0.8587839470989941,59
635,10.0,l2,saga,31,None,"{'model__C': 10.0, 'model__class_weight': None, 'model__max_iter': 31, 'model__solver': 'saga', 'model__penalty': 'l2'}",0.7977642076233626,0.013439723093283246,0.7268084750385635,0.856829092914516,0.8019501625135428,0.7357042744602553,0.8587839470989941,60
